Timestamp,Username,Activity Type,Transaction Hash,Status,Description
2024-07-04T15:56:16.201807,0x602a0Fa5C63ebFf2aE80d7d32fB63638F4Ca6A88&Anna_Woods#1268,activity,N/A,Failed,"Error: {'code': -32000, 'message': 'replacement transaction underpriced'}"
2024-07-04T15:56:16.726874,0x285a5F4EEf84A84D07eb8a040700EB39cfC16F1C&Gerald_Bell#6137,activity,N/A,Failed,"Error: {'code': -32000, 'message': 'replacement transaction underpriced'}"
2024-07-04T15:56:18.941597,0x79B6e97a94441682d88B10637B898b07D57BF11D&Jason_Jones#2866,activity,0xdefde84763365a1396e206c8a639a88712f9f488369284c00148ec5f6ca80932,Success,use_stamina
2024-07-04T16:01:03.809651,0x285a5F4EEf84A84D07eb8a040700EB39cfC16F1C&Gerald_Bell#6137,activity,0x769f815dc0899e2c09827caa21d6376c04b16380e4101832ea4962e41d44ffa3,Success,use_stamina
2024-07-04T16:01:58.477146,0x285a5F4EEf84A84D07eb8a040700EB39cfC16F1C&Gerald_Bell#6137,battle,0xa0bfcc2e92386ba99ceca7285386e6d5c48936c95be11bc01ac264f60bccfea2,Success,adventure
2024-07-04T16:02:10.536136,0x285a5F4EEf84A84D07eb8a040700EB39cfC16F1C&Gerald_Bell#6137,activity,0x6d446e32944f22cdf88a72e78ee11e93e1efc69a2b8f91830e850503a8938973,Success,use_stamina
2024-07-04T16:03:12.809694,0x285a5F4EEf84A84D07eb8a040700EB39cfC16F1C&Gerald_Bell#6137,battle,0x2f2bc8632868be7dfdfa7509f6970d5bad25ffdebcb16107d1385523a18adaff,Success,adventure
2024-07-04T16:07:40.409542,0x285a5F4EEf84A84D07eb8a040700EB39cfC16F1C&Gerald_Bell#6137,activity,0xaf6d3a443f90da81d3027a36a2640c12cfe3d3d08aba37dae792660cea1ab0db,Success,use_stamina
2024-07-04T16:08:35.262288,0x285a5F4EEf84A84D07eb8a040700EB39cfC16F1C&Gerald_Bell#6137,battle,0xe3a1ed2e3d47640c255b45f0fbc6389936bde90f90fd1224d3225c8670d7b335,Success,adventure
2024-07-04T16:11:18.434884,0x79B6e97a94441682d88B10637B898b07D57BF11D&Jason_Jones#2866,activity,0xa502eec77c6f184f6749ca709e1c00293f012792fe685c367983006e1bd5841b,Success,use_stamina
2024-07-04T16:12:12.682166,0x79B6e97a94441682d88B10637B898b07D57BF11D&Jason_Jones#2866,battle,0xecd9fb3fb1a26c4b403eb4c15c1134705d6984b5b7aab3dd8ab389228df1eec6,Success,adventure
2024-07-04T16:12:24.512095,0x79B6e97a94441682d88B10637B898b07D57BF11D&Jason_Jones#2866,activity,0xb67cb51126fb68d17c62f6bf9b5c02265de96e3afc073f2ff65f87d3587eef17,Success,use_stamina
2024-07-04T16:13:25.610944,0x79B6e97a94441682d88B10637B898b07D57BF11D&Jason_Jones#2866,battle,0x8437de63980dbb3a44b7d405419b99a5ef4ab40fe1547275f39b20fc65ace939,Success,adventure
2024-07-04T16:13:56.232606,0x79B6e97a94441682d88B10637B898b07D57BF11D&Jason_Jones#2866,activity,0xcaf5a64f0839975c81c7a98ebecc69e9afe22961d211b1c391bc96d86b9e9145,Success,use_stamina
2024-07-04T16:14:35.706536,0x79B6e97a94441682d88B10637B898b07D57BF11D&Jason_Jones#2866,activity,0xc1730f87b68f67ad739d8faec6b1f00d125f9f9e62c027ab20db1d81834ffb48,Success,use_stamina
2024-07-04T16:15:25.182088,0x79B6e97a94441682d88B10637B898b07D57BF11D&Jason_Jones#2866,battle,0xa33ca4954bd905a8fcdc257e6e42844f49e16f7feef0b5d1740b38fcb95baa49,Success,adventure
2024-07-04T16:15:37.131716,0x79B6e97a94441682d88B10637B898b07D57BF11D&Jason_Jones#2866,activity,0x68bea544d9a7d6ff67ce4691eaf41cfe856ba7251a24eeb7318ec559da3b3677,Success,use_stamina
2024-07-04T16:17:45.925988,0x79B6e97a94441682d88B10637B898b07D57BF11D&Jason_Jones#2866,battle,0xa969e50402532f432cbd15d0a622a6f256b687e316fd6db62c2b3c001c822bc2,Success,adventure
2024-07-04T16:17:57.908487,0x79B6e97a94441682d88B10637B898b07D57BF11D&Jason_Jones#2866,activity,0xf0b334fbfbfe7224da56e7fb4407dfd0552f2b066eb3d41942324ece6ceec1a7,Success,use_stamina
2024-07-04T16:20:05.978829,0x79B6e97a94441682d88B10637B898b07D57BF11D&Jason_Jones#2866,battle,0x0c7de05bc1e647b719ebf6b339f7b3d3a8e7753d1fd85900b4e70f7ea54adca1,Success,adventure
2024-07-04T16:20:18.554611,0x79B6e97a94441682d88B10637B898b07D57BF11D&Jason_Jones#2866,activity,0x9ae9e8c90f3602f3f7b5ba3d3d8f17f52ff7946afeef9bc69927df5d5eef6a5c,Success,use_stamina
2024-07-04T16:22:27.136637,0x79B6e97a94441682d88B10637B898b07D57BF11D&Jason_Jones#2866,battle,0x9f63392fd0a65008da01382bccfe050baae721dfdd354ac6afb49495fff33440,Success,adventure
2024-07-04T16:22:39.185261,0x79B6e97a94441682d88B10637B898b07D57BF11D&Jason_Jones#2866,activity,0x9cda00e243e23f671bf515391e6c47f9ac91a46f73e4b7a227eeabbff328f718,Success,use_stamina
2024-07-04T16:24:50.416367,0x79B6e97a94441682d88B10637B898b07D57BF11D&Jason_Jones#2866,battle,0xc80af566a6193ef6ea62cfbb6bc68a455a6032fe23a04d29a3cdfd1634302284,Success,adventure
